Date,equity
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,100000.0
2018-02-02,100000.0
2018-02-05,96128.13206462933
2018-02-06,98104.28085423348
2018-02-07,97959.1497002745
2018-02-08,94125.12170110868
2018-02-09,95727.00313727626
2018-02-12,97142.49895200552
2018-02-13,97113.35620231992
2018-02-14,97113.35620231992
2018-02-15,97113.35620231992
2018-02-16,97113.35620231992
2018-02-20,97113.35620231992
2018-02-21,97113.35620231992
2018-02-22,97113.35620231992
2018-02-23,97113.35620231992
2018-02-26,97113.35620231992
2018-02-27,97113.35620231992
2018-02-28,97113.35620231992
2018-03-01,97113.35620231992
2018-03-02,97113.35620231992
2018-03-05,97113.35620231992
2018-03-06,97113.35620231992
2018-03-07,96227.89163196541
2018-03-08,96424.36698517538
2018-03-09,96395.43967507983
2018-03-12,96259.08396816038
2018-03-13,97170.20206821701
2018-03-14,97583.47872396317
2018-03-15,97554.20368034599
2018-03-16,97554.20368034599
2018-03-19,97554.20368034599
2018-03-20,97554.20368034599
2018-03-21,97554.20368034599
2018-03-22,97554.20368034599
2018-03-23,94971.80457030216
2018-03-26,97938.23860297943
2018-03-27,97908.85713139854
2018-03-28,97407.66784821762
2018-03-29,98978.20554754279
2018-04-02,98948.51208587852
2018-04-03,100145.2303745504
2018-04-04,100115.18680543805
2018-04-05,100115.18680543805
2018-04-06,100115.18680543805
2018-04-09,100115.18680543805
2018-04-10,100115.18680543805
2018-04-11,100115.18680543805
2018-04-12,100115.18680543805
2018-04-13,100115.18680543805
2018-04-16,100115.18680543805
2018-04-17,100115.18680543805
2018-04-18,100014.65322084233
2018-04-19,100832.49872396889
2018-04-20,100802.2489743517
2018-04-23,100802.2489743517
2018-04-24,100802.2489743517
2018-04-25,100802.2489743517
2018-04-26,100802.2489743517
2018-04-27,100802.2489743517
2018-04-30,100802.2489743517
2018-05-01,100802.2489743517
2018-05-02,100802.2489743517
2018-05-03,99918.05905156082
2018-05-04,101217.12710998805
2018-05-07,101186.76197185506
2018-05-08,100949.06751799506
2018-05-09,100035.76018531402
2018-05-10,99081.6756478521
2018-05-11,99031.83343223899
2018-05-14,99080.93562693414
2018-05-15,99791.81510815324
2018-05-16,99761.8775636208
2018-05-17,99273.15668918625
2018-05-18,99144.1619380859
2018-05-21,98488.83515614925
2018-05-22,99202.0488083563
2018-05-23,99172.2881937138
2018-05-24,99172.2881937138
2018-05-25,99172.2881937138
2018-05-29,99172.2881937138
2018-05-30,100947.68179350311
2018-05-31,101693.09423857223
2018-06-01,101662.58631030066
2018-06-04,100765.46757573207
2018-06-05,100394.96622705362
2018-06-06,99692.93267980221
2018-06-07,100233.87256407355
2018-06-08,100124.76003632958
2018-06-11,99952.96650323134
2018-06-12,99660.66024398485
2018-06-13,99879.47298427833
2018-06-14,99849.50914238306
2018-06-15,99978.97032297142
2018-06-18,99948.97663187452
2018-06-19,99913.09160790624
2018-06-20,99883.11768042388
2018-06-21,100787.51248522464
2018-06-22,100757.27623147907
2018-06-25,100757.27623147907
2018-06-26,100761.22556868002
2018-06-27,99450.73923229976
2018-06-28,100177.52301262158
2018-06-29,100238.1105783079
2018-07-02,100881.58391811242
2018-07-03,100851.31944293699
2018-07-05,100851.31944293699
2018-07-06,100851.31944293699
2018-07-09,100851.31944293699
2018-07-10,101279.7164264368
2018-07-11,101959.72797682683
2018-07-12,101929.14005843378
2018-07-13,101880.82921932844
2018-07-16,102027.96022029748
2018-07-17,101855.2964464974
2018-07-18,101438.25911124062
2018-07-19,102361.82881678082
2018-07-20,102331.1202681358
2018-07-23,102331.1202681358
2018-07-24,102007.4156189456
2018-07-25,101788.99624511413
2018-07-26,102588.60714517735
2018-07-27,102557.8305630338
2018-07-30,102557.8305630338
2018-07-31,103570.14712470332
2018-08-01,103539.07608056592
2018-08-02,103539.07608056592
2018-08-03,103539.07608056592
2018-08-06,103128.31349376494
2018-08-07,102787.76085572585
2018-08-08,102830.9963426864
2018-08-09,102971.4751268342
2018-08-10,102940.58368429614
2018-08-13,102940.58368429614
2018-08-14,102940.58368429614
2018-08-15,102940.58368429614
2018-08-16,102940.58368429614
2018-08-17,102940.58368429614
2018-08-20,102940.58368429614
2018-08-21,102940.58368429614
2018-08-22,102813.67972257946
2018-08-23,103095.14266266084
2018-08-24,102533.34839440671
2018-08-27,101859.80184435572
2018-08-28,101762.74379260684
2018-08-29,101182.04064496674
2018-08-30,101414.33310319146
2018-08-31,101327.56533345228
2018-09-04,101731.93157563794
2018-09-05,101701.41199616525
2018-09-06,101701.41199616525
2018-09-07,101701.41199616525
2018-09-10,101701.41199616525
2018-09-11,101701.41199616525
2018-09-12,101701.41199616525
2018-09-13,101701.41199616525
2018-09-14,102396.54170421053
2018-09-17,102365.82274169927
2018-09-18,102763.79033400216
2018-09-19,102732.96119690196
2018-09-20,102730.51798120269
2018-09-21,102946.02056320317
2018-09-24,103690.12775234933
2018-09-25,103659.02071402365
2018-09-26,103659.02071402365
2018-09-27,103634.06613537112
2018-09-28,103948.61570894867
2018-10-01,104300.82128308367
2018-10-02,104027.07897559913
2018-10-03,104293.08916415427
2018-10-04,104501.89863072206
2018-10-05,103525.42206840489
2018-10-08,103069.77588220345
2018-10-09,103149.40470658804
2018-10-10,99192.9450417696
2018-10-11,97277.41288574511
2018-10-12,98738.63825110307
2018-10-15,98268.8642453685
2018-10-16,100749.53530296922
2018-10-17,100719.31044237834
2018-10-18,100719.31044237834
2018-10-19,100719.31044237834
2018-10-22,100719.31044237834
