Date,equity
2022-11-28,86838.25714328315
2022-11-29,87016.20465614053
2022-11-30,85554.48041594333
2022-12-01,85638.03252058549
2022-12-02,85806.19318250511
2022-12-05,87586.01676186592
2022-12-06,88999.72342816638
2022-12-07,89317.01391666211
2022-12-08,88776.5856359236
2022-12-09,88959.81998815096
2022-12-12,88070.37402176202
2022-12-13,87593.97925735122
2022-12-14,88094.07006889347
2022-12-15,88371.92509911946
2022-12-16,88600.07502891647
2022-12-19,89011.55160054441
2022-12-20,88933.15081876017
2022-12-21,88589.25043658302
2022-12-22,88930.95055842101
2022-12-23,88567.66879250444
2022-12-27,89008.37150193787
2022-12-28,89522.70216445265
2022-12-29,88079.61344177289
2022-12-30,88163.76049190586
2023-01-03,87955.06720106679
2023-01-04,87345.81588348155
2023-01-05,87657.32637302337
2023-01-06,86243.65982770687
2023-01-09,86403.76542722537
2023-01-10,85655.20611304193
2023-01-11,85054.78057647335
2023-01-12,84801.56724915745
2023-01-13,84453.18276742137
2023-01-17,84444.60519483713
2023-01-18,85726.79781446255
2023-01-19,86324.04820776696
2023-01-20,84495.07105442509
2023-01-23,83127.02972744874
2023-01-24,83060.98470943351
2023-01-25,82963.22339528447
2023-01-26,82151.64739409849
2023-01-27,81848.46338578362
2023-01-30,82824.38235104486
2023-01-31,81924.30276983551
2023-02-01,81095.02904749903
2023-02-02,79932.66009498332
2023-02-03,80647.92188156628
2023-02-06,81299.03141609224
2023-02-07,80026.06368274504
2023-02-08,81007.78221015372
2023-02-09,81795.69380156134
2023-02-10,81853.57590611035
2023-02-13,81629.13567753295
2023-02-14,81517.31470964574
2023-02-15,81166.72609188495
2023-02-16,82285.47252399047
2023-02-17,82598.62163634764
2023-02-21,80606.26456645351
2023-02-22,80565.90765423908
2023-02-23,80647.74510307147
2023-02-24,81485.86214903001
2023-02-27,81173.44216544289
2023-02-28,81257.29042735253
2023-03-01,81078.76534831135
2023-03-02,81023.09336846754
2023-03-03,80777.95227031657
2023-03-06,80583.55891884324
2023-03-07,81802.74798703655
2023-03-08,81611.75496360553
2023-03-09,81733.11804658383
2023-03-10,82282.58355438741
2023-03-13,81109.89986684319
2023-03-14,80047.41416375272
2023-03-15,80384.22291263004
2023-03-16,80889.30559296915
2023-03-17,81962.34470818842
2023-03-20,82146.32790062162
2023-03-21,81430.16519323525
2023-03-22,82467.8472768364
2023-03-23,82660.30913955021
2023-03-24,82668.71580060553
2023-03-27,82688.18843613169
2023-03-28,82569.03948099203
2023-03-29,83020.47448568804
2023-03-30,82786.9454510545
2023-03-31,82916.81798933115
2023-04-03,83060.2319962312
2023-04-04,83304.47652546904
2023-04-05,83866.90401828873
2023-04-06,84178.42795688182
2023-04-10,83947.99322592079
2023-04-11,84242.69315869076
2023-04-12,83811.78119167642
2023-04-13,84581.84366821306
2023-04-14,84070.6274143877
