Date,SPY,IWM,QQQ,XLF,XLK
2018-01-02,236.5621795654297,138.8843994140625,150.4115753173828,24.006914138793945,29.910064697265625
2018-01-03,238.05845642089844,139.02882385253906,151.8730926513672,24.13589096069336,30.159555435180664
2018-01-04,239.06182861328125,139.39878845214844,152.13880920410156,24.359447479248047,30.31201171875
2018-01-05,240.6549530029297,139.68756103515625,153.66673278808594,24.428237915039062,30.63079261779785
2018-01-08,241.0950164794922,139.9041290283203,154.2646484375,24.393844604492188,30.74629020690918
2018-01-09,241.6406707763672,139.7146759033203,154.27407836914062,24.5830135345459,30.667755126953125
2018-01-10,241.27096557617188,139.73268127441406,153.91342163085938,24.789369583129883,30.561491012573242
2018-01-11,243.0314178466797,142.13319396972656,154.96690368652344,24.909748077392578,30.68622589111328
2018-01-12,244.61569213867188,142.7287139892578,156.1057586669922,25.133312225341797,30.866413116455078
2018-01-16,243.779541015625,140.9058837890625,155.65969848632812,25.064525604248047,30.74629020690918
2018-01-17,246.10317993164062,142.24147033691406,157.33946228027344,25.253690719604492,31.20830535888672
2018-01-18,245.6894989013672,141.26683044433594,157.36793518066406,25.21929359436035,31.26373863220215
2018-01-19,246.8073272705078,143.1258544921875,157.86141967773438,25.399869918823242,31.32379913330078
2018-01-22,248.81402587890625,143.8929443359375,159.55078125,25.606229782104492,31.628721237182617
2018-01-23,249.3421630859375,144.3531036376953,160.86988830566406,25.632028579711914,31.767322540283203
2018-01-24,249.24539184570312,143.45968627929688,159.8258819580078,25.803991317749023,31.522451400756836
2018-01-25,249.3509521484375,143.5138702392578,159.7689971923828,25.75240135192871,31.467012405395508
2018-01-26,252.2378692626953,144.02825927734375,162.21746826171875,25.941570281982422,31.965978622436523
2018-01-29,250.56558227539062,143.216064453125,161.42977905273438,25.83838653564453,31.674915313720703
2018-01-30,247.9954833984375,141.8444061279297,160.1011199951172,25.5030460357666,31.38848114013672
2018-01-31,248.11865234375,141.1043701171875,160.76551818847656,25.571836471557617,31.62409210205078
2018-02-01,247.8370361328125,141.5465850830078,159.39889526367188,25.81258773803711,31.65181541442871
2018-02-02,242.44174194335938,138.82122802734375,156.21961975097656,25.245094299316406,30.71395492553711
