Date,equity
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,100000.0
2018-02-02,100000.0
2018-02-05,100000.0
2018-02-06,100000.0
2018-02-07,100000.0
2018-02-08,100000.0
2018-02-09,100000.0
2018-02-12,100000.0
2018-02-13,100000.0
2018-02-14,100000.0
2018-02-15,100000.0
2018-02-16,100000.0
2018-02-20,100000.0
2018-02-21,100000.0
2018-02-22,100000.0
2018-02-23,100000.0
2018-02-26,100000.0
2018-02-27,100000.0
2018-02-28,100000.0
2018-03-01,100000.0
2018-03-02,100000.0
2018-03-05,100000.0
2018-03-06,100000.0
2018-03-07,100000.0
2018-03-08,100000.0
2018-03-09,100000.0
2018-03-12,100000.0
2018-03-13,100000.0
2018-03-14,100000.0
2018-03-15,100000.0
2018-03-16,100000.0
2018-03-19,100000.0
2018-03-20,100000.0
2018-03-21,100000.0
2018-03-22,100000.0
2018-03-23,100000.0
2018-03-26,100000.0
2018-03-27,100000.0
2018-03-28,100000.0
2018-03-29,100000.0
2018-04-02,100000.0
2018-04-03,100000.0
2018-04-04,100000.0
2018-04-05,100000.0
2018-04-06,100000.0
2018-04-09,100000.0
2018-04-10,100000.0
2018-04-11,100000.0
2018-04-12,100000.0
2018-04-13,100000.0
2018-04-16,100000.0
2018-04-17,100000.0
2018-04-18,100000.0
2018-04-19,100000.0
2018-04-20,100000.0
2018-04-23,100000.0
2018-04-24,100000.0
2018-04-25,100000.0
2018-04-26,100000.0
2018-04-27,100000.0
2018-04-30,100000.0
2018-05-01,100000.0
2018-05-02,100000.0
2018-05-03,100000.0
2018-05-04,100000.0
2018-05-07,100000.0
2018-05-08,100000.0
2018-05-09,100000.0
2018-05-10,100000.0
2018-05-11,100000.0
2018-05-14,100000.0
2018-05-15,100000.0
2018-05-16,100000.0
2018-05-17,100000.0
2018-05-18,100000.0
2018-05-21,100000.0
2018-05-22,100000.0
2018-05-23,100000.0
2018-05-24,100000.0
2018-05-25,100000.0
2018-05-29,100000.0
2018-05-30,100000.0
2018-05-31,100000.0
2018-06-01,100000.0
2018-06-04,100000.0
2018-06-05,100000.0
2018-06-06,100000.0
2018-06-07,100000.0
2018-06-08,100000.0
2018-06-11,100000.0
2018-06-12,100000.0
2018-06-13,100000.0
2018-06-14,100000.0
2018-06-15,100000.0
2018-06-18,100000.0
2018-06-19,100000.0
2018-06-20,100000.0
2018-06-21,100000.0
2018-06-22,100000.0
2018-06-25,100000.0
2018-06-26,100000.0
2018-06-27,100000.0
2018-06-28,100000.0
2018-06-29,100000.0
2018-07-02,100000.0
2018-07-03,100000.0
2018-07-05,100000.0
2018-07-06,100000.0
2018-07-09,100000.0
2018-07-10,100000.0
2018-07-11,100000.0
2018-07-12,100000.0
2018-07-13,100000.0
2018-07-16,100000.0
2018-07-17,100000.0
2018-07-18,100000.0
2018-07-19,100000.0
2018-07-20,100000.0
2018-07-23,100000.0
2018-07-24,100000.0
2018-07-25,100000.0
2018-07-26,100000.0
2018-07-27,100000.0
2018-07-30,100000.0
2018-07-31,100000.0
2018-08-01,100000.0
2018-08-02,100000.0
2018-08-03,100000.0
2018-08-06,100000.0
2018-08-07,100000.0
2018-08-08,100000.0
2018-08-09,100000.0
2018-08-10,100000.0
2018-08-13,100000.0
2018-08-14,100000.0
2018-08-15,100000.0
2018-08-16,100000.0
2018-08-17,100000.0
2018-08-20,100000.0
2018-08-21,100000.0
2018-08-22,100000.0
2018-08-23,100000.0
2018-08-24,100000.0
2018-08-27,100000.0
2018-08-28,100000.0
2018-08-29,100000.0
2018-08-30,100000.0
2018-08-31,100000.0
2018-09-04,100000.0
2018-09-05,100000.0
2018-09-06,100000.0
2018-09-07,100000.0
2018-09-10,100000.0
2018-09-11,100000.0
2018-09-12,100000.0
2018-09-13,100000.0
2018-09-14,100000.0
2018-09-17,100000.0
2018-09-18,100000.0
2018-09-19,100000.0
2018-09-20,100000.0
2018-09-21,100000.0
2018-09-24,100000.0
2018-09-25,100000.0
2018-09-26,100000.0
2018-09-27,100000.0
2018-09-28,100000.0
2018-10-01,100000.0
2018-10-02,100000.0
2018-10-03,100000.0
2018-10-04,100000.0
2018-10-05,100000.0
2018-10-08,100000.0
2018-10-09,100000.0
2018-10-10,100000.0
2018-10-11,100000.0
2018-10-12,100000.0
2018-10-15,100000.0
2018-10-16,100000.0
2018-10-17,100026.50536485642
2018-10-18,98208.97757959593
2018-10-19,98024.04552746216
2018-10-22,97628.34491866613
2018-10-23,97028.23437766006
2018-10-24,93273.59154828168
2018-10-25,95677.99489605283
2018-10-26,93963.85451703043
2018-10-29,92940.51135452563
2018-10-30,94442.40794136708
2018-10-31,95726.85525557109
2018-11-01,97155.4503436533
2018-11-02,96362.14661805617
2018-11-05,96437.80518695805
2018-11-06,97034.3962720546
2018-11-07,99376.80867428867
2018-11-08,99099.7366041693
2018-11-09,97599.02525684432
2018-11-12,95174.23288043229
2018-11-13,95076.55071898608
2018-11-14,94297.32974637061
2018-11-15,95797.58056555614
2018-11-16,95756.54647688947
2018-11-19,93159.50447615873
2018-11-20,91375.38052828387
2018-11-21,91892.68873186283
2018-11-23,91203.82377748544
2018-11-26,93018.72501881761
2018-11-27,93297.36130439801
2018-11-28,95993.2675528039
2018-11-29,95562.36742623361
2018-11-30,96263.88852171524
2018-12-03,97883.30386216861
2018-12-04,94396.30993775827
2018-12-06,94221.26573531197
2018-12-07,92031.92819362717
2018-12-10,92206.51854419972
2018-12-11,92227.46771320303
2018-12-12,92691.86884386631
2018-12-13,92664.06128321314
